ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,25,18.2163,1,4000x2000,1,1,0.439168
4K-2,4000x2000,boxBlur,25,18.1562,1,4000x2000,1,1,0.440622
4K-3,4000x2000,boxBlur,25,18.2,1,4000x2000,1,1,0.43956
4K-1,4000x4000,boxBlur,25,18.5457,2,4000x2000,0.982236,1.96447,0.862734
4K-2,4000x4000,boxBlur,25,18.6824,2,4000x2000,0.97183,1.94366,0.856419
4K-3,4000x4000,boxBlur,25,18.4385,2,4000x2000,0.987069,1.97414,0.867751
4K-1,4000x8000,boxBlur,25,20.2761,4,4000x2000,0.89841,3.59364,1.57821
4K-2,4000x8000,boxBlur,25,20.3246,4,4000x2000,0.893308,3.57323,1.57444
4K-3,4000x8000,boxBlur,25,20.9376,4,4000x2000,0.869252,3.47701,1.52835
4K-1,4000x16000,boxBlur,25,32.1556,8,4000x2000,0.566503,4.53202,1.99032
4K-2,4000x16000,boxBlur,25,32.1194,8,4000x2000,0.565271,4.52217,1.99256
4K-3,4000x16000,boxBlur,25,32.3561,8,4000x2000,0.562491,4.49993,1.97799
4K-1,4000x32000,boxBlur,25,37.144,16,4000x2000,0.490422,7.84675,3.44605
4K-2,4000x32000,boxBlur,25,37.0462,16,4000x2000,0.490096,7.84153,3.45515
4K-3,4000x32000,boxBlur,25,36.9857,16,4000x2000,0.492082,7.87332,3.46079
