ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,25,17.9599,1,1,1
4K-2,4000x2000,boxBlur,25,17.9409,1,1,1
4K-3,4000x2000,boxBlur,25,17.9781,1,1,1
4K-1,4000x2000,boxBlur,25,9.03899,2,1.98693,0.993466
4K-2,4000x2000,boxBlur,25,9.04948,2,1.98253,0.991266
4K-3,4000x2000,boxBlur,25,9.33657,2,1.92556,0.962779
4K-1,4000x2000,boxBlur,25,5.94267,4,3.02219,0.755547
4K-2,4000x2000,boxBlur,25,5.95171,4,3.01441,0.753602
4K-3,4000x2000,boxBlur,25,5.84341,4,3.07665,0.769162
4K-1,4000x2000,boxBlur,25,4.07174,8,4.41086,0.551357
4K-2,4000x2000,boxBlur,25,3.97286,8,4.51586,0.564483
4K-3,4000x2000,boxBlur,25,3.88962,8,4.62207,0.577759
4K-1,4000x2000,boxBlur,25,2.43075,16,7.38861,0.461788
4K-2,4000x2000,boxBlur,25,2.34751,16,7.64252,0.477657
4K-3,4000x2000,boxBlur,25,2.42353,16,7.41814,0.463634
