ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
6K-1,6000x4000,boxBlur,19,17.1962,1,1,1
6K-2,6000x4000,boxBlur,19,17.1077,1,1,1
6K-3,6000x4000,boxBlur,19,17.0911,1,1,1
6K-1,6000x4000,boxBlur,19,8.71016,2,1.97427,0.987135
6K-2,6000x4000,boxBlur,19,8.71546,2,1.96291,0.981456
6K-3,6000x4000,boxBlur,19,8.68074,2,1.96885,0.984424
6K-1,6000x4000,boxBlur,19,4.82304,4,3.56543,0.891357
6K-2,6000x4000,boxBlur,19,4.8428,4,3.53261,0.883151
6K-3,6000x4000,boxBlur,19,4.82145,4,3.54479,0.886198
6K-1,6000x4000,boxBlur,19,3.36767,8,5.10626,0.638282
6K-2,6000x4000,boxBlur,19,3.37986,8,5.06166,0.632707
6K-3,6000x4000,boxBlur,19,3.41014,8,5.01183,0.626479
6K-1,6000x4000,boxBlur,19,3.20193,16,5.37057,0.335661
6K-2,6000x4000,boxBlur,19,3.2101,16,5.32933,0.333083
6K-3,6000x4000,boxBlur,19,3.20131,16,5.33877,0.333673
