ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
5K-1,5000x3000,boxBlur,13,5.16074,1,1,1
5K-2,5000x3000,boxBlur,13,5.0839,1,1,1
5K-3,5000x3000,boxBlur,13,5.08056,1,1,1
5K-1,5000x3000,boxBlur,13,2.60969,2,1.97753,0.988765
5K-2,5000x3000,boxBlur,13,2.61683,2,1.94277,0.971385
5K-3,5000x3000,boxBlur,13,2.61372,2,1.94381,0.971904
5K-1,5000x3000,boxBlur,13,1.45687,4,3.54234,0.885584
5K-2,5000x3000,boxBlur,13,1.4453,4,3.51753,0.879383
5K-3,5000x3000,boxBlur,13,1.43945,4,3.52951,0.882378
5K-1,5000x3000,boxBlur,13,0.987334,8,5.22694,0.653368
5K-2,5000x3000,boxBlur,13,0.999827,8,5.08478,0.635597
5K-3,5000x3000,boxBlur,13,0.992771,8,5.11755,0.639694
5K-1,5000x3000,boxBlur,13,0.939407,16,5.49361,0.34335
5K-2,5000x3000,boxBlur,13,0.944968,16,5.37997,0.336248
5K-3,5000x3000,boxBlur,13,0.948383,16,5.35708,0.334817
