ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,25,9.90191,1,1,1
4K-2,4000x2000,boxBlur,25,9.81911,1,1,1
4K-3,4000x2000,boxBlur,25,9.82218,1,1,1
4K-1,4000x2000,boxBlur,25,4.99172,2,1.98367,0.991834
4K-2,4000x2000,boxBlur,25,4.98535,2,1.96959,0.984796
4K-3,4000x2000,boxBlur,25,4.98757,2,1.96933,0.984666
4K-1,4000x2000,boxBlur,25,2.73407,4,3.62167,0.905418
4K-2,4000x2000,boxBlur,25,2.72849,4,3.59874,0.899684
4K-3,4000x2000,boxBlur,25,2.74091,4,3.58355,0.895887
4K-1,4000x2000,boxBlur,25,1.95512,8,5.06461,0.633076
4K-2,4000x2000,boxBlur,25,1.98559,8,4.94519,0.618149
4K-3,4000x2000,boxBlur,25,2.00817,8,4.89112,0.61139
4K-1,4000x2000,boxBlur,25,1.80679,16,5.4804,0.342525
4K-2,4000x2000,boxBlur,25,1.81887,16,5.39846,0.337404
4K-3,4000x2000,boxBlur,25,1.83129,16,5.36352,0.33522
