ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,7,0.923208,1,1,1
4K-2,4000x2000,boxBlur,7,0.841658,1,1,1
4K-3,4000x2000,boxBlur,7,0.843876,1,1,1
4K-1,4000x2000,boxBlur,7,0.446743,2,2.06653,1.03327
4K-2,4000x2000,boxBlur,7,0.446452,2,1.88521,0.942607
4K-3,4000x2000,boxBlur,7,0.448124,2,1.88313,0.941566
4K-1,4000x2000,boxBlur,7,0.256626,4,3.59748,0.89937
4K-2,4000x2000,boxBlur,7,0.256306,4,3.2838,0.82095
4K-3,4000x2000,boxBlur,7,0.25813,4,3.26918,0.817296
4K-1,4000x2000,boxBlur,7,0.187746,8,4.91731,0.614664
4K-2,4000x2000,boxBlur,7,0.186691,8,4.50829,0.563537
4K-3,4000x2000,boxBlur,7,0.186314,8,4.52932,0.566165
4K-1,4000x2000,boxBlur,7,0.16818,16,5.4894,0.343088
4K-2,4000x2000,boxBlur,7,0.168017,16,5.00935,0.313085
4K-3,4000x2000,boxBlur,7,0.169983,16,4.96447,0.31028
