ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
7K-1,7000x5000,boxBlur,25,43.147,1,1,1
7K-2,7000x5000,boxBlur,25,42.9376,1,1,1
7K-3,7000x5000,boxBlur,25,42.9323,1,1,1
7K-1,7000x5000,boxBlur,25,21.7476,2,1.98398,0.991992
7K-2,7000x5000,boxBlur,25,21.8082,2,1.96888,0.984439
7K-3,7000x5000,boxBlur,25,21.8677,2,1.96327,0.981637
7K-1,7000x5000,boxBlur,25,11.9489,4,3.61097,0.902742
7K-2,7000x5000,boxBlur,25,12.0059,4,3.57637,0.894094
7K-3,7000x5000,boxBlur,25,12.062,4,3.55931,0.889827
7K-1,7000x5000,boxBlur,25,8.61994,8,5.00549,0.625686
7K-2,7000x5000,boxBlur,25,8.56696,8,5.012,0.6265
7K-3,7000x5000,boxBlur,25,8.55231,8,5.01997,0.627496
7K-1,7000x5000,boxBlur,25,8.14538,16,5.29711,0.331069
7K-2,7000x5000,boxBlur,25,8.23587,16,5.21349,0.325843
7K-3,7000x5000,boxBlur,25,8.22662,16,5.21871,0.326169
