ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,25,2.23548,1,4000x2000,1,1,3.57865
4K-2,4000x2000,boxBlur,25,2.18697,1,4000x2000,1,1,3.65803
4K-3,4000x2000,boxBlur,25,2.14339,1,4000x2000,1,1,3.7324
4K-1,4000x4000,boxBlur,25,2.18946,2,4000x2000,1.02102,2.04204,7.30775
4K-2,4000x4000,boxBlur,25,2.19306,2,4000x2000,0.997222,1.99444,7.29573
4K-3,4000x4000,boxBlur,25,2.18692,2,4000x2000,0.980096,1.96019,7.31623
4K-1,4000x8000,boxBlur,25,2.40242,4,4000x2000,0.930512,3.72205,13.3199
4K-2,4000x8000,boxBlur,25,2.3954,4,4000x2000,0.912989,3.65196,13.359
4K-3,4000x8000,boxBlur,25,2.3924,4,4000x2000,0.895916,3.58366,13.3757
4K-1,4000x16000,boxBlur,25,2.90283,8,4000x2000,0.770103,6.16083,22.0474
4K-2,4000x16000,boxBlur,25,2.90366,8,4000x2000,0.753178,6.02543,22.0412
4K-3,4000x16000,boxBlur,25,2.91584,8,4000x2000,0.735085,5.88068,21.9491
4K-1,4000x32000,boxBlur,25,5.13915,16,4000x2000,0.43499,6.95985,24.9068
4K-2,4000x32000,boxBlur,25,5.18395,16,4000x2000,0.421873,6.74997,24.6916
4K-3,4000x32000,boxBlur,25,5.20489,16,4000x2000,0.411803,6.58885,24.5923
