ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
5K-1,5000x3000,boxBlur,13,2.45278,1,5000x3000,1,1,6.11551
5K-2,5000x3000,boxBlur,13,2.38323,1,5000x3000,1,1,6.29398
5K-3,5000x3000,boxBlur,13,2.37655,1,5000x3000,1,1,6.31168
5K-1,5000x6000,boxBlur,13,2.43669,2,5000x3000,1.0066,2.0132,12.3118
5K-2,5000x6000,boxBlur,13,2.432,2,5000x3000,0.979945,1.95989,12.3355
5K-3,5000x6000,boxBlur,13,2.42673,2,5000x3000,0.97932,1.95864,12.3623
5K-1,5000x12000,boxBlur,13,2.69944,4,5000x3000,0.908624,3.6345,22.2268
5K-2,5000x12000,boxBlur,13,2.70151,4,5000x3000,0.882186,3.52874,22.2098
5K-3,5000x12000,boxBlur,13,2.69738,4,5000x3000,0.881058,3.52423,22.2438
5K-1,5000x24000,boxBlur,13,3.27368,8,5000x3000,0.749243,5.99394,36.656
5K-2,5000x24000,boxBlur,13,3.33376,8,5000x3000,0.714878,5.71902,35.9954
5K-3,5000x24000,boxBlur,13,3.36966,8,5000x3000,0.705278,5.64222,35.6119
5K-1,5000x48000,boxBlur,13,5.94361,16,5000x3000,0.412675,6.60281,40.3795
5K-2,5000x48000,boxBlur,13,5.94211,16,5000x3000,0.401074,6.41719,40.3897
5K-3,5000x48000,boxBlur,13,5.87544,16,5000x3000,0.404488,6.4718,40.848
