ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,25,9.60997,1,7000x5000,1,1,3.64205
7K-2,7000x5000,boxBlur,25,9.51102,1,7000x5000,1,1,3.67994
7K-3,7000x5000,boxBlur,25,9.53202,1,7000x5000,1,1,3.67184
7K-1,7000x10000,boxBlur,25,9.72957,2,7000x5000,0.987708,1.97542,7.19456
7K-2,7000x10000,boxBlur,25,9.70198,2,7000x5000,0.980317,1.96063,7.21502
7K-3,7000x10000,boxBlur,25,9.68524,2,7000x5000,0.984179,1.96836,7.22749
7K-1,7000x20000,boxBlur,25,10.7021,4,7000x5000,0.897949,3.5918,13.0815
7K-2,7000x20000,boxBlur,25,10.7875,4,7000x5000,0.881672,3.52669,12.978
7K-3,7000x20000,boxBlur,25,10.7403,4,7000x5000,0.887504,3.55001,13.0351
7K-1,7000x40000,boxBlur,25,13.1068,8,7000x5000,0.733207,5.86566,21.363
7K-2,7000x40000,boxBlur,25,13.1653,8,7000x5000,0.722433,5.77946,21.2681
7K-3,7000x40000,boxBlur,25,13.2456,8,7000x5000,0.719638,5.75711,21.1392
7K-1,7000x80000,boxBlur,25,24.9346,16,7000x5000,0.385407,6.16651,22.4588
7K-2,7000x80000,boxBlur,25,24.8203,16,7000x5000,0.383196,6.13113,22.5622
7K-3,7000x80000,boxBlur,25,24.8533,16,7000x5000,0.383532,6.13651,22.5323
