ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,7,0.441075,1,4000x2000,1,1,18.1375
4K-2,4000x2000,boxBlur,7,0.397129,1,4000x2000,1,1,20.1446
4K-3,4000x2000,boxBlur,7,0.387009,1,4000x2000,1,1,20.6714
4K-1,4000x4000,boxBlur,7,0.411336,2,4000x2000,1.0723,2.1446,38.8976
4K-2,4000x4000,boxBlur,7,0.411708,2,4000x2000,0.964589,1.92918,38.8625
4K-3,4000x4000,boxBlur,7,0.410417,2,4000x2000,0.942964,1.88593,38.9847
4K-1,4000x8000,boxBlur,7,0.47095,4,4000x2000,0.936564,3.74626,67.9477
4K-2,4000x8000,boxBlur,7,0.467006,4,4000x2000,0.850371,3.40148,68.5215
4K-3,4000x8000,boxBlur,7,0.469482,4,4000x2000,0.824332,3.29733,68.1603
4K-1,4000x16000,boxBlur,7,0.621002,8,4000x2000,0.710264,5.68211,103.059
4K-2,4000x16000,boxBlur,7,0.655953,8,4000x2000,0.605423,4.84338,97.568
4K-3,4000x16000,boxBlur,7,0.608132,8,4000x2000,0.636389,5.09111,105.24
4K-1,4000x32000,boxBlur,7,1.08884,16,4000x2000,0.405089,6.48142,117.557
4K-2,4000x32000,boxBlur,7,1.06659,16,4000x2000,0.372333,5.95733,120.008
4K-3,4000x32000,boxBlur,7,1.05484,16,4000x2000,0.366888,5.87021,121.345
