ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,7,1.75864,1,7000x5000,1,1,19.9018
7K-2,7000x5000,boxBlur,7,1.68671,1,7000x5000,1,1,20.7505
7K-3,7000x5000,boxBlur,7,1.68608,1,7000x5000,1,1,20.7582
7K-1,7000x10000,boxBlur,7,1.77792,2,7000x5000,0.989155,1.97831,39.3719
7K-2,7000x10000,boxBlur,7,1.77783,2,7000x5000,0.948744,1.89749,39.3738
7K-3,7000x10000,boxBlur,7,1.78051,2,7000x5000,0.946968,1.89394,39.3146
7K-1,7000x20000,boxBlur,7,2.06018,4,7000x5000,0.853632,3.41453,67.9552
7K-2,7000x20000,boxBlur,7,2.06121,4,7000x5000,0.818307,3.27323,67.9211
7K-3,7000x20000,boxBlur,7,2.05751,4,7000x5000,0.819479,3.27792,68.0435
7K-1,7000x40000,boxBlur,7,2.63503,8,7000x5000,0.667407,5.33925,106.261
7K-2,7000x40000,boxBlur,7,2.65488,8,7000x5000,0.635323,5.08259,105.466
7K-3,7000x40000,boxBlur,7,2.67799,8,7000x5000,0.629609,5.03687,104.556
7K-1,7000x80000,boxBlur,7,5.32512,16,7000x5000,0.330253,5.28404,105.162
7K-2,7000x80000,boxBlur,7,4.91764,16,7000x5000,0.342991,5.48786,113.876
7K-3,7000x80000,boxBlur,7,4.84953,16,7000x5000,0.34768,5.56287,115.475
