ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
6K-1,6000x4000,boxBlur,19,2.6537,1,1,1
6K-2,6000x4000,boxBlur,19,2.56234,1,1,1
6K-3,6000x4000,boxBlur,19,2.57281,1,1,1
6K-1,6000x4000,boxBlur,19,1.311,2,2.02418,1.01209
6K-2,6000x4000,boxBlur,19,1.31482,2,1.94882,0.974408
6K-3,6000x4000,boxBlur,19,1.31728,2,1.95313,0.976564
6K-1,6000x4000,boxBlur,19,0.734526,4,3.6128,0.903201
6K-2,6000x4000,boxBlur,19,0.741666,4,3.45485,0.863711
6K-3,6000x4000,boxBlur,19,0.738851,4,3.48218,0.870546
6K-1,6000x4000,boxBlur,19,0.4608,8,5.75889,0.719862
6K-2,6000x4000,boxBlur,19,0.456209,8,5.61659,0.702074
6K-3,6000x4000,boxBlur,19,0.455741,8,5.64535,0.705668
6K-1,6000x4000,boxBlur,19,0.385856,16,6.87744,0.42984
6K-2,6000x4000,boxBlur,19,0.389012,16,6.5868,0.411675
6K-3,6000x4000,boxBlur,19,0.391817,16,6.56636,0.410398
