ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
5K-1,5000x3000,boxBlur,13,1.94224,1,1,1
5K-2,5000x3000,boxBlur,13,1.85179,1,1,1
5K-3,5000x3000,boxBlur,13,1.85486,1,1,1
5K-1,5000x3000,boxBlur,13,0.953279,2,2.03743,1.01872
5K-2,5000x3000,boxBlur,13,0.953192,2,1.94272,0.97136
5K-3,5000x3000,boxBlur,13,0.951102,2,1.95022,0.97511
5K-1,5000x3000,boxBlur,13,0.524379,4,3.70389,0.925973
5K-2,5000x3000,boxBlur,13,0.530091,4,3.49333,0.873333
5K-3,5000x3000,boxBlur,13,0.525066,4,3.53262,0.883156
5K-1,5000x3000,boxBlur,13,0.331631,8,5.85665,0.732081
5K-2,5000x3000,boxBlur,13,0.328514,8,5.63685,0.704606
5K-3,5000x3000,boxBlur,13,0.326337,8,5.68387,0.710484
5K-1,5000x3000,boxBlur,13,0.283195,16,6.85833,0.428645
5K-2,5000x3000,boxBlur,13,0.281443,16,6.57962,0.411226
5K-3,5000x3000,boxBlur,13,0.288062,16,6.4391,0.402444
