ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
7K-1,7000x5000,boxBlur,7,1.82035,1,1,1
7K-2,7000x5000,boxBlur,7,1.73722,1,1,1
7K-3,7000x5000,boxBlur,7,1.73642,1,1,1
7K-1,7000x5000,boxBlur,7,0.939107,2,1.93838,0.969191
7K-2,7000x5000,boxBlur,7,0.919405,2,1.88951,0.944754
7K-3,7000x5000,boxBlur,7,0.919624,2,1.88818,0.94409
7K-1,7000x5000,boxBlur,7,0.525133,4,3.46645,0.866613
7K-2,7000x5000,boxBlur,7,0.524109,4,3.31462,0.828656
7K-3,7000x5000,boxBlur,7,0.528684,4,3.28441,0.821103
7K-1,7000x5000,boxBlur,7,0.344411,8,5.28539,0.660674
7K-2,7000x5000,boxBlur,7,0.34585,8,5.02305,0.627881
7K-3,7000x5000,boxBlur,7,0.332277,8,5.22582,0.653227
7K-1,7000x5000,boxBlur,7,0.299152,16,6.08502,0.380314
7K-2,7000x5000,boxBlur,7,0.296757,16,5.85403,0.365877
7K-3,7000x5000,boxBlur,7,0.299367,16,5.80029,0.362518
