ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,7,0.164464,1,1,1
4K-2,4000x2000,boxBlur,7,0.159969,1,1,1
4K-3,4000x2000,boxBlur,7,0.149567,1,1,1
4K-1,4000x2000,boxBlur,7,0.0823722,2,1.9966,0.998298
4K-2,4000x2000,boxBlur,7,0.0870728,2,1.83719,0.918594
4K-3,4000x2000,boxBlur,7,0.0789107,2,1.89539,0.947695
4K-1,4000x2000,boxBlur,7,0.0493601,4,3.33192,0.83298
4K-2,4000x2000,boxBlur,7,0.0503465,4,3.17736,0.79434
4K-3,4000x2000,boxBlur,7,0.0502798,4,2.97469,0.743672
4K-1,4000x2000,boxBlur,7,0.0371354,8,4.42876,0.553595
4K-2,4000x2000,boxBlur,7,0.0373469,8,4.28333,0.535416
4K-3,4000x2000,boxBlur,7,0.0367862,8,4.06583,0.508229
4K-1,4000x2000,boxBlur,7,0.0398376,16,4.12836,0.258023
4K-2,4000x2000,boxBlur,7,0.0316124,16,5.06033,0.316271
4K-3,4000x2000,boxBlur,7,0.0329471,16,4.53959,0.283725
