ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
7K-1,7000x5000,boxBlur,25,9.62062,1,1,1
7K-2,7000x5000,boxBlur,25,9.54397,1,1,1
7K-3,7000x5000,boxBlur,25,9.55176,1,1,1
7K-1,7000x5000,boxBlur,25,4.84471,2,1.9858,0.992901
7K-2,7000x5000,boxBlur,25,4.86238,2,1.96282,0.98141
7K-3,7000x5000,boxBlur,25,4.86705,2,1.96254,0.981268
7K-1,7000x5000,boxBlur,25,2.67264,4,3.59967,0.899919
7K-2,7000x5000,boxBlur,25,2.68021,4,3.5609,0.890226
7K-3,7000x5000,boxBlur,25,2.67187,4,3.57494,0.893735
7K-1,7000x5000,boxBlur,25,1.59557,8,6.02959,0.753699
7K-2,7000x5000,boxBlur,25,1.60602,8,5.94264,0.74283
7K-3,7000x5000,boxBlur,25,1.63925,8,5.82691,0.728363
7K-1,7000x5000,boxBlur,25,1.48904,16,6.46097,0.403811
7K-2,7000x5000,boxBlur,25,1.47485,16,6.47114,0.404447
7K-3,7000x5000,boxBlur,25,1.47422,16,6.47918,0.404949
