ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
6K-1,6000x4000,boxBlur,19,34.4831,1,1,1
6K-2,6000x4000,boxBlur,19,34.5829,1,1,1
6K-3,6000x4000,boxBlur,19,34.5771,1,1,1
6K-1,6000x4000,boxBlur,19,17.3552,2,1.98691,0.993454
6K-2,6000x4000,boxBlur,19,17.3095,2,1.99792,0.99896
6K-3,6000x4000,boxBlur,19,17.2149,2,2.00855,1.00428
6K-1,6000x4000,boxBlur,19,9.37387,4,3.67864,0.91966
6K-2,6000x4000,boxBlur,19,9.35077,4,3.6984,0.924601
6K-3,6000x4000,boxBlur,19,9.17104,4,3.77025,0.942562
6K-1,6000x4000,boxBlur,19,7.23954,8,4.76316,0.595396
6K-2,6000x4000,boxBlur,19,7.43923,8,4.64872,0.58109
6K-3,6000x4000,boxBlur,19,7.24955,8,4.76955,0.596193
6K-1,6000x4000,boxBlur,19,4.22888,16,8.1542,0.509637
6K-2,6000x4000,boxBlur,19,4.19406,16,8.24569,0.515356
6K-3,6000x4000,boxBlur,19,4.32824,16,7.98872,0.499295
