ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,7,3.77502,1,7000x5000,1,1,9.27147
7K-2,7000x5000,boxBlur,7,3.69327,1,7000x5000,1,1,9.47671
7K-3,7000x5000,boxBlur,7,3.68814,1,7000x5000,1,1,9.48988
7K-1,7000x10000,boxBlur,7,3.89059,2,7000x5000,0.970296,1.94059,17.9921
7K-2,7000x10000,boxBlur,7,3.92124,2,7000x5000,0.941862,1.88372,17.8515
7K-3,7000x10000,boxBlur,7,3.91648,2,7000x5000,0.941698,1.8834,17.8732
7K-1,7000x20000,boxBlur,7,4.5843,4,7000x5000,0.823467,3.29387,30.539
7K-2,7000x20000,boxBlur,7,4.60899,4,7000x5000,0.801319,3.20527,30.3754
7K-3,7000x20000,boxBlur,7,4.61955,4,7000x5000,0.798377,3.19351,30.306
7K-1,7000x40000,boxBlur,7,6.64553,8,7000x5000,0.568054,4.54443,42.1336
7K-2,7000x40000,boxBlur,7,6.86857,8,7000x5000,0.537705,4.30164,40.7654
7K-3,7000x40000,boxBlur,7,6.75641,8,7000x5000,0.545872,4.36698,41.4421
7K-1,7000x80000,boxBlur,7,12.8635,16,7000x5000,0.293467,4.69547,43.5339
7K-2,7000x80000,boxBlur,7,13.0962,16,7000x5000,0.282011,4.51217,42.7605
7K-3,7000x80000,boxBlur,7,13.0073,16,7000x5000,0.283544,4.5367,43.0527
