ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
6K-1,6000x4000,boxBlur,19,17.1671,1,6000x4000,1,1,1.39803
6K-2,6000x4000,boxBlur,19,17.1444,1,6000x4000,1,1,1.39988
6K-3,6000x4000,boxBlur,19,17.1213,1,6000x4000,1,1,1.40176
6K-1,6000x8000,boxBlur,19,17.5041,2,6000x4000,0.980747,1.96149,2.74222
6K-2,6000x8000,boxBlur,19,17.4406,2,6000x4000,0.983014,1.96603,2.75219
6K-3,6000x8000,boxBlur,19,17.4138,2,6000x4000,0.983206,1.96641,2.75644
6K-1,6000x16000,boxBlur,19,22.5405,4,6000x4000,0.76161,3.04644,4.25901
6K-2,6000x16000,boxBlur,19,22.5726,4,6000x4000,0.759523,3.03809,4.25295
6K-3,6000x16000,boxBlur,19,22.7964,4,6000x4000,0.751052,3.00421,4.21118
6K-1,6000x32000,boxBlur,19,29.3451,8,6000x4000,0.585006,4.68005,6.54283
6K-2,6000x32000,boxBlur,19,29.1925,8,6000x4000,0.587286,4.69829,6.57702
6K-3,6000x32000,boxBlur,19,29.3989,8,6000x4000,0.582379,4.65904,6.53086
6K-1,6000x64000,boxBlur,19,53.7808,16,6000x4000,0.319204,5.10727,7.1401
6K-2,6000x64000,boxBlur,19,53.5409,16,6000x4000,0.320211,5.12338,7.17209
6K-3,6000x64000,boxBlur,19,53.7771,16,6000x4000,0.318376,5.09401,7.14059
