ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,25,9.91127,1,4000x2000,1,1,0.807162
4K-2,4000x2000,boxBlur,25,9.82534,1,4000x2000,1,1,0.814221
4K-3,4000x2000,boxBlur,25,9.8157,1,4000x2000,1,1,0.815021
4K-1,4000x4000,boxBlur,25,9.97659,2,4000x2000,0.993453,1.98691,1.60375
4K-2,4000x4000,boxBlur,25,10.0119,2,4000x2000,0.98137,1.96274,1.5981
4K-3,4000x4000,boxBlur,25,10.0043,2,4000x2000,0.981144,1.96229,1.59931
4K-1,4000x8000,boxBlur,25,10.9412,4,4000x2000,0.905867,3.62347,2.92473
4K-2,4000x8000,boxBlur,25,11.0072,4,4000x2000,0.89263,3.57052,2.90719
4K-3,4000x8000,boxBlur,25,11.0388,4,4000x2000,0.889201,3.5568,2.89887
4K-1,4000x16000,boxBlur,25,15.7713,8,4000x2000,0.628436,5.02749,4.058
4K-2,4000x16000,boxBlur,25,15.7466,8,4000x2000,0.623966,4.99172,4.06437
4K-3,4000x16000,boxBlur,25,15.9866,8,4000x2000,0.613995,4.91196,4.00335
4K-1,4000x32000,boxBlur,25,30.2709,16,4000x2000,0.327419,5.23871,4.22849
4K-2,4000x32000,boxBlur,25,30.1725,16,4000x2000,0.325639,5.21023,4.24228
4K-3,4000x32000,boxBlur,25,30.2541,16,4000x2000,0.324442,5.19106,4.23083
