ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,25,43.0592,1,7000x5000,1,1,0.812835
7K-2,7000x5000,boxBlur,25,43.0067,1,7000x5000,1,1,0.813826
7K-3,7000x5000,boxBlur,25,42.9553,1,7000x5000,1,1,0.814801
7K-1,7000x10000,boxBlur,25,43.5457,2,7000x5000,0.988828,1.97766,1.60751
7K-2,7000x10000,boxBlur,25,43.64,2,7000x5000,0.98549,1.97098,1.60403
7K-3,7000x10000,boxBlur,25,43.613,2,7000x5000,0.984919,1.96984,1.60503
7K-1,7000x20000,boxBlur,25,48.3307,4,7000x5000,0.890928,3.56371,2.89671
7K-2,7000x20000,boxBlur,25,48.4542,4,7000x5000,0.887575,3.5503,2.88933
7K-3,7000x20000,boxBlur,25,48.1983,4,7000x5000,0.891218,3.56487,2.90466
7K-1,7000x40000,boxBlur,25,69.8066,8,7000x5000,0.616835,4.93468,4.01108
7K-2,7000x40000,boxBlur,25,70.0462,8,7000x5000,0.613977,4.91182,3.99736
7K-3,7000x40000,boxBlur,25,70.6261,8,7000x5000,0.608207,4.86565,3.96454
7K-1,7000x80000,boxBlur,25,134.656,16,7000x5000,0.319771,5.11634,4.15874
7K-2,7000x80000,boxBlur,25,133.218,16,7000x5000,0.32283,5.16529,4.20364
7K-3,7000x80000,boxBlur,25,133.6,16,7000x5000,0.321521,5.14434,4.19162
